game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64633312,72,11,19,4,1,67,14,19,4,1,82,21,18,3,1,83,6,16,3,0,69,9,19,4,0,85,13,19,4,0
64631679,78,16,19,4,1,70,6,18,5,0,88,3,18,4,1,74,3,18,4,0,75,22,16,3,0,76,3,16,2,0
64628904,50,21,19,4,1,88,3,19,4,1,31,7,19,3,2,31,7,19,3,1,20,4,18,3,0,29,1,19,5,0
64627150,2,10,18,4,1,88,3,18,2,1,90,11,16,3,0,73,24,16,4,0,67,14,17,3,0,18,15,16,5,0
64624861,43,5,19,4,0,42,24,19,4,1,29,1,19,5,0,90,11,19,4,0,18,15,20,5,0,76,3,18,4,0
64568701,81,9,20,5,0,75,22,19,4,1,29,1,19,5,0,53,14,19,4,0,67,14,19,5,0,76,3,19,4,1
64564842,72,11,20,4,1,4,13,19,5,0,26,9,20,4,1,20,4,19,2,0,76,3,19,4,0,31,7,19,4,0
64563188,58,10,20,5,0,82,21,20,4,1,7,1,20,5,0,90,11,19,5,0,74,3,19,5,0,29,1,20,5,0
64557445,76,3,20,4,1,26,9,20,3,2,9,10,20,4,1,11,16,20,5,0,62,11,20,5,0,12,7,20,5,0
64738067,1,15,19,4,0,33,1,19,5,0,36,5,20,4,1,2,11,19,2,2,22,3,18,3,0,48,3,19,4,0
64737733,76,3,19,4,0,81,9,20,4,1,72,11,19,3,2,50,21,20,5,0,75,22,20,4,0,25,11,20,5,0
64737274,36,5,20,3,2,29,2,20,5,0,14,21,20,3,2,71,14,20,4,1,59,2,20,5,0,80,19,20,5,0
64736019,42,24,20,4,1,9,10,20,2,3,68,1,19,5,0,50,21,19,5,0,3,16,19,4,1,77,24,20,5,0
64735671,67,14,20,5,0,25,11,20,4,1,46,16,20,4,1,21,9,19,4,0,9,9,20,3,2,20,4,19,5,0
64735252,55,14,20,3,2,37,15,20,2,3,72,11,20,4,1,76,3,19,2,0,18,15,19,3,0,89,9,19,3,1
